년/월/일,year,COD,BOD,DO,TN,TP,Chro,TOC
2020-01-07,2020Y,3.2,0.5,9,0.737,0.014,1,2.3
2020-01-14,2020Y,3.1,0.9,9.4,0.82,0.003,1.4,2.2
2020-01-21,2020Y,3.6,0.5,9.9,0.847,0.008,1.2,2.4
2020-01-28,2020Y,3.1,0.6,10,0.881,0.01,1.1,2.1
2020-02-03,2020Y,3.7,0.6,10,0.867,0.008,1.3,2.3
2020-02-11,2020Y,3.5,0.4,10.3,0.887,0.016,0.9,2.2
2020-02-17,2020Y,3.3,1,10.2,0.813,0.012,1.6,2.1
2020-02-25,2020Y,3,0.7,10.8,0.839,0.004,1,2
2020-03-03,2020Y,3.3,1,11.4,0.861,0.008,0.4,2.5
2020-03-10,2020Y,3,0.6,10.4,0.857,0.006,1.7,2
2020-03-17,2020Y,3,0.5,11.4,0.814,0.008,1.8,2.1
2020-03-24,2020Y,3.2,0.8,11.5,0.836,0.007,2.1,2.1
2020-03-31,2020Y,3,1.1,11,0.824,0.009,1.9,2.1
2020-04-07,2020Y,3.3,0.5,11.2,0.813,0.006,1.5,2
2020-04-14,2020Y,3.2,0.5,11.2,0.814,0.006,1.1,2
2020-04-21,2020Y,3,0.5,10.8,0.829,0.007,0.9,2.1
2020-04-28,2020Y,3.6,0.5,10.8,0.808,0.007,1.4,2.1
2020-05-04,2020Y,3.2,0.6,9.8,0.831,0.008,1.3,2
2020-05-12,2020Y,2.9,0.6,9.8,0.805,0.006,2.2,2
2020-05-19,2020Y,3.2,0.5,9.2,0.815,0.008,0.7,2.1
2020-05-26,2020Y,3,0.6,8.8,0.789,0.008,1.3,2
2020-06-02,2020Y,3.1,0.6,8.7,0.778,0.007,0.9,1.9
2020-06-09,2020Y,3.3,0.7,8,0.814,0.006,0.8,2.1
2020-06-16,2020Y,3.1,0.7,8.4,0.758,0.007,1.2,1.9
2020-06-23,2020Y,2.8,0.6,7.6,0.778,0.01,1.1,2.1
2020-07-07,2020Y,3.4,1,7.5,0.769,0.011,4.1,2.3
2020-07-14,2020Y,3.2,0.9,7.5,0.762,0.009,4,2.1
2020-07-21,2020Y,3.4,1.1,7.7,0.873,0.013,4.9,2.6
2020-07-28,2020Y,4.3,1.3,7.8,0.887,0.017,11.3,3
2020-08-04,2020Y,4.4,1.5,7.6,0.859,0.02,11.4,3.2
2020-08-19,2020Y,4.6,1.4,7.6,0.865,0.032,12.2,2.6
2020-08-25,2020Y,4.3,1,7.7,0.72,0.021,16,2.6
2020-09-01,2020Y,4.7,1.4,7.2,0.816,0.025,22.6,2.8
2020-09-08,2020Y,3.8,1,6.1,0.841,0.022,7.1,2.2
2020-09-15,2020Y,3.6,0.9,6.5,0.856,0.021,5.7,2
2020-09-22,2020Y,3.7,1.1,6.8,0.807,0.018,10.1,2.1
2020-09-28,2020Y,3.9,1.4,7,0.834,0.02,5.3,2.2
2020-10-06,2020Y,3.6,0.9,6,0.838,0.018,4.4,2
2020-10-12,2020Y,3.7,1.4,6.4,0.844,0.016,5.9,1.9
2020-10-20,2020Y,3.6,0.9,5.9,0.842,0.014,5.4,1.9
2020-10-27,2020Y,3.5,0.9,5.5,0.914,0.018,3.5,2
2020-11-03,2020Y,3.3,0.8,5.7,0.815,0.014,2.6,1.8
2020-11-10,2020Y,3,0.6,7.3,0.755,0.011,3.2,1.8
2020-11-17,2020Y,3.5,0.9,8,0.724,0.013,6.8,1.8
2020-11-23,2020Y,3.1,1,8.2,0.671,0.013,4,1.7
2020-12-01,2020Y,3.2,0.8,8.9,0.695,0.01,2.8,1.8
2020-12-08,2020Y,2.9,0.7,9.1,0.668,0.006,2.3,1.6
2020-12-14,2020Y,3.3,1.2,9.6,0.63,0.009,2.7,1.6
2020-12-22,2020Y,3.1,0.6,10.1,0.682,0.01,2.1,1.4
2021-01-05,2021Y,2.7,0.7,10.6,0.651,0.006,2.1,2
2021-01-11,2021Y,2.7,0.9,11.2,0.665,0.009,3,1.7
2021-01-20,2021Y,2.5,0.8,11.4,0.626,0.006,3.6,1.8
2021-01-26,2021Y,2.4,1,11.4,0.627,0.008,2.9,1.6
